Date,C5A0
19961231,104.02
19970102,101.68
19970103,101.77
19970106,101.67
19970107,101.58
19970108,101.5
19970109,101.78
19970110,101.31
19970113,103.34
19970114,103.76
19970115,103.45
19970116,103.3
19970117,103.38
19970120,103.43
19970121,103.59
19970122,103.49
19970123,103.34
19970124,103.21
19970127,103.06
19970128,103.26
19970129,103.32
19970130,103.45
19970131,103.83
19970203,103.89
19970204,103.96
19970205,103.9
19970206,103.88
19970207,104.16
19970210,104.21
19970211,104.22
19970212,104.19
19970213,104.58
19970214,104.82
19970218,104.56
19970219,104.5
19970220,104.24
19970221,104.28
19970224,104.22
19970225,104.2
19970226,103.5
19970227,103.43
19970228,103.43
19970303,103.29
19970304,103.19
19970305,103.22
19970306,103.13
19970307,103.4
19970310,103.42
19970311,103.43
19970312,103.31
19970313,102.83
19970314,102.94
19970317,102.6
19970318,102.62
19970319,102.55
19970320,102.49
19970321,102.49
19970324,102.65
19970325,102.52
19970326,102.33
19970327,101.88
19970331,101.88
19970401,101.76
19970402,101.82
19970403,101.88
19970404,101.65
19970407,101.92
19970408,101.79
19970409,101.8
19970410,101.8
19970411,101.5
19970414,101.54
19970415,101.72
19970416,101.64
19970417,101.85
19970418,101.96
19970421,101.86
19970422,102.03
19970423,101.85
19970424,101.67
19970425,101.62
19970428,101.79
19970429,102.46
19970430,102.72
19970501,102.61
19970502,102.73
19970505,102.75
19970506,102.75
19970507,102.46
19970508,102.55
19970509,102.93
19970512,103.04
19970513,102.79
19970514,103.01
19970515,102.71
19970516,102.59
19970519,102.61
19970520,102.75
19970521,102.62
19970522,102.5
19970523,102.59
19970527,102.49
19970528,102.45
19970529,102.65
19970530,103
19970531,103
19970602,102.82
19970603,102.97
19970604,102.98
19970605,103
19970606,103.48
19970609,103.34
19970610,103.27
19970611,103.32
19970612,103.74
19970613,103.94
19970616,103.78
19970617,103.67
19970618,103.8
19970619,103.82
19970620,103.93
19970623,103.86
19970624,103.85
19970625,103.73
19970626,103.57
19970627,103.71
19970630,103.52
19970701,103.69
19970702,103.82
19970703,104.28
19970707,104.56
19970708,104.55
19970709,104.68
19970710,104.68
19970711,104.78
19970714,104.7
19970715,104.37
19970716,104.64
19970717,104.65
19970718,104.5
19970721,104.43
19970722,104.94
19970723,104.99
19970724,104.98
19970725,104.9
19970728,105.07
19970729,105.26
19970730,105.49
19970731,105.58
19970801,104.51
19970804,104.43
19970805,104.42
19970806,104.44
19970807,104.42
19970808,103.92
19970811,104.01
19970812,103.89
19970813,104.06
19970814,104.4
19970815,104.21
19970818,104.48
19970819,104.46
19970820,104.34
19970821,104.13
19970822,103.89
19970825,103.82
19970826,103.89
19970827,103.86
19970828,104.2
19970829,104.03
19970831,103.99
19970902,103.99
19970903,103.87
19970904,103.89
19970905,103.82
19970908,103.92
19970909,103.91
19970910,103.81
19970911,103.77
19970912,104.18
19970915,104.01
19970916,104.73
19970917,104.81
19970918,104.71
19970919,104.81
19970922,104.98
19970923,104.84
19970924,105.05
19970925,104.72
19970926,104.94
19970929,104.96
19970930,104.76
19971001,104.86
19971002,104.98
19971003,105.13
19971006,105.29
19971007,105.4
19971008,104.87
19971009,104.81
19971010,104.53
19971013,104.57
19971014,104.92
19971015,104.52
19971016,104.57
19971017,104.24
19971020,104.37
19971021,104.37
19971022,104.46
19971023,104.82
19971024,104.95
19971027,105.67
19971028,104.99
19971029,105.36
19971030,105.58
19971031,105.29
19971103,104.74
19971104,104.61
19971105,104.62
19971106,104.75
19971107,104.78
19971110,104.77
19971111,104.81
19971112,104.92
19971113,104.97
19971114,104.99
19971117,104.71
19971118,104.72
19971119,104.84
19971120,104.73
19971121,104.88
19971124,104.78
19971125,104.77
19971126,104.74
19971127,104.76
19971128,104.71
19971130,104.7
19971201,104.48
19971202,104.53
19971203,104.67
19971204,104.69
19971205,104.38
19971208,104.26
19971209,104.36
19971210,104.59
19971211,104.9
19971212,105.2
19971215,104.53
19971216,104.64
19971217,104.51
19971218,104.71
19971219,104.93
19971222,104.81
19971223,104.76
19971224,104.72
19971226,104.75
19971229,104.76
19971230,104.63
19971231,105.26
19980102,105.52
19980105,106.21
19980106,106.41
19980107,106.22
19980108,106.6
19980109,107.04
19980112,107.06
19980113,106.88
19980114,106.76
19980115,106.34
19980116,106.06
19980119,106.1
19980120,106.01
19980121,106.14
19980122,106.18
19980123,105.67
19980126,105.85
19980127,105.6
19980128,105.54
19980129,106.05
19980130,106.14
19980131,106.07
19980202,105.67
19980203,105.76
19980204,105.76
19980205,105.57
19980206,105.55
19980209,105.46
19980210,105.52
19980211,105.72
19980212,105.87
19980213,106.01
19980216,105.79
19980217,105.95
19980218,105.8
19980219,105.72
19980220,105.66
19980223,105.52
19980224,105.08
19980225,105.27
19980226,105.18
19980227,105.33
19980228,105.26
19980302,104.83
19980303,104.62
19980304,104.67
19980305,104.68
19980306,104.9
19980309,105.13
19980310,105.14
19980311,105.27
19980312,105.56
19980313,105.52
19980316,105.43
19980317,105.38
19980318,105.31
19980319,105.29
19980320,105.34
19980323,105.39
19980324,105.41
19980325,105.14
19980326,104.98
19980327,104.95
19980330,104.87
19980331,105.05
19980401,105.04
19980402,105.25
19980403,105.66
19980406,105.54
19980407,105.51
19980408,103.6
19980409,105.29
19980413,105.05
19980414,105.22
19980415,105.1
19980416,105.2
19980417,105.19
19980420,105.05
19980421,104.91
19980422,104.93
19980423,104.9
19980424,104.99
19980427,104.52
19980428,104.49
19980429,104.48
19980430,104.92
19980501,103.13
19980504,104.84
19980505,104.73
19980506,104.98
19980507,104.92
19980508,104.8
19980511,104.55
19980512,104.87
19980513,104.98
19980514,104.9
19980515,104.61
19980518,104.85
19980519,104.82
19980520,104.97
19980521,104.76
19980522,104.83
19980525,104.88
19980526,105.12
19980527,105.23
19980528,103.31
19980529,105.26
19980531,105.26
19980601,105.17
19980602,105.07
19980603,105.02
19980604,104.93
19980605,104.95
19980608,105
19980609,105
19980610,105.28
19980611,105.63
19980612,105.71
19980615,105.61
19980616,105.3
19980617,104.96
19980618,105.09
19980619,105.22
19980622,105.3
19980623,105.32
19980624,105.33
19980625,105.29
19980626,105.34
19980629,105.34
19980630,105.27
19980701,105.31
19980702,105.38
19980703,105.4
19980706,105.54
19980707,105.47
19980708,105.43
19980709,105.56
19980710,105.56
19980713,105.42
19980714,105.35
19980715,105.03
19980716,104.96
19980717,104.94
19980720,105.08
19980721,105.19
19980722,105.15
19980723,105.24
19980724,105.21
19980727,105.19
19980728,105.21
19980729,105.04
19980730,105.04
19980731,104.97
19980803,104.94
19980804,105.08
19980805,105.13
19980806,105.11
19980807,105.27
19980810,105.31
19980811,105.46
19980812,105.4
19980813,105.24
19980814,105.39
19980817,105.2
19980818,105.09
19980819,105.11
19980820,105.23
19980821,105.52
19980824,105.66
19980825,105.84
19980826,105.97
19980827,106.29
19980828,106.02
19980831,105.03
19980901,104.85
19980902,104.67
19980903,104.94
19980904,104.96
19980907,105.04
19980908,105.02
19980909,105.49
19980910,106.35
19980911,106.02
19980914,105.9
19980915,105.59
19980916,105.59
19980917,105.92
19980918,106.27
19980921,106.35
19980922,106.15
19980923,106.43
19980924,106.66
19980925,106.81
19980928,106.81
19980929,106.66
19980930,107.3
19981001,107.64
19981002,107.47
19981005,107.96
19981006,107.68
19981007,107.25
19981008,106.56
19981009,105.47
19981012,105.44
19981013,105.71
19981014,106.24
19981015,106
19981016,106.76
19981019,106.74
19981020,106.4
19981021,106.35
19981022,106.26
19981023,106.07
19981026,106.03
19981027,106.46
19981028,106.63
19981029,106.72
19981030,106.2
19981031,106.13
19981102,105.38
19981103,105.38
19981104,104.81
19981105,105.06
19981106,104.53
19981109,104.87
19981110,105.13
19981111,105.15
19981112,105.34
19981113,105.13
19981116,104.78
19981117,104.74
19981118,104.89
19981119,104.79
19981120,104.92
19981123,104.96
19981124,105.01
19981125,105.15
19981126,105.17
19981127,105.32
19981130,106.13
19981201,106.26
19981202,106.63
19981203,106.71
19981204,106.39
19981207,106.07
19981208,106.48
19981209,106.64
19981210,106.86
19981211,106.44
19981214,106.67
19981215,106.15
19981216,106.37
19981217,106.3
19981218,106.24
19981221,105.98
19981222,105.77
19981223,105.32
19981224,105.1
19981228,105.52
19981229,105.78
19981230,106.03
19981231,105.99
19990104,105.9
19990105,105.6
19990106,105.74
19990107,105.6
19990108,105.33
19990111,105.24
19990112,105.61
19990113,105.92
19990114,106.37
19990115,105.69
19990118,105.74
19990119,105.61
19990120,105.47
19990121,105.71
19990122,105.95
19990125,105.95
19990126,105.85
19990127,105.93
19990128,106.02
19990129,106.22
19990131,106.17
19990201,105.53
19990202,105.35
19990203,105.16
19990204,104.89
19990205,104.84
19990208,104.95
19990209,105.07
19990210,105.07
19990211,105.03
19990212,104.37
19990215,104.15
19990216,104.34
19990217,104.55
19990218,104.43
19990219,104.28
19990222,104.49
19990223,104.24
19990224,103.93
19990225,103.42
19990226,103.7
19990228,103.54
19990301,103.04
19990302,103.27
19990303,103.15
19990304,103.02
19990305,103.38
19990308,103.53
19990309,103.93
19990310,103.86
19990311,103.87
19990312,104.11
19990315,104.02
19990316,104.24
19990317,104.18
19990318,104.29
19990319,104.08
19990322,103.98
19990323,104.07
19990324,104.23
19990325,104.03
19990326,104.09
19990329,103.92
19990330,104.22
19990331,103.93
19990401,103.58
19990402,104
19990405,104.07
19990406,104.32
19990407,104.29
19990408,104.71
19990409,104.71
19990412,104.72
19990413,104.53
19990414,104.53
19990415,104.17
19990416,103.98
19990419,104.26
19990420,104.38
19990421,104.36
19990422,104.02
19990423,104.09
19990426,104.2
19990427,104.27
19990428,104.14
19990429,104.4
19990430,103.71
19990503,103.46
19990504,103.33
19990505,103.42
19990506,103
19990507,102.92
19990510,103.12
19990511,102.88
19990512,102.98
19990513,103.46
19990514,102.65
19990517,102.23
19990518,102.28
19990519,102.27
19990520,102.2
19990521,102.47
19990524,102.65
19990525,102.49
19990526,102.29
19990527,101.95
19990528,101.86
19990531,101.83
19990601,101
19990602,101
19990603,101.06
19990604,101.05
19990607,101.1
19990608,101.04
19990609,100.89
19990610,100.71
19990611,100.37
19990614,100.55
19990615,100.32
19990616,100.51
19990617,101.15
19990618,100.92
19990621,100.76
19990622,100.64
19990623,100.4
19990624,100.24
19990625,100.36
19990628,100.62
19990629,100.75
19990630,101.23
19990701,101.01
