Date,G5O2
19961231,103.74
19970102,101.9
19970103,101.96
19970106,101.91
19970107,101.85
19970108,101.77
19970109,102.01
19970110,101.64
19970113,103.42
19970114,103.7
19970115,103.61
19970116,103.5
19970117,103.56
19970120,103.62
19970121,103.73
19970122,103.65
19970123,103.55
19970124,103.49
19970127,103.41
19970128,103.59
19970129,103.63
19970130,103.73
19970131,103.72
19970203,103.96
19970204,104.02
19970205,103.96
19970206,103.95
19970207,104.16
19970210,104.19
19970211,104.2
19970212,104.17
19970213,104.42
19970214,104.56
19970218,103.87
19970219,103.82
19970220,103.66
19970221,103.7
19970224,103.68
19970225,103.65
19970226,103.18
19970227,103.13
19970228,102.79
19970303,102.8
19970304,102.74
19970305,102.76
19970306,102.73
19970307,102.91
19970310,102.95
19970311,102.97
19970312,102.88
19970313,102.58
19970314,102.66
19970317,102.65
19970318,102.67
19970319,102.62
19970320,102.57
19970321,102.57
19970324,102.67
19970325,102.59
19970326,102.45
19970327,102.15
19970331,101.99
19970401,102.1
19970402,102.14
19970403,102.19
19970404,102.05
19970407,102.27
19970408,102.17
19970409,102.18
19970410,102.18
19970411,101.96
19970414,102.01
19970415,102.17
19970416,102.12
19970417,102.26
19970418,102.35
19970421,102.3
19970422,102.41
19970423,102.29
19970424,102.17
19970425,102.15
19970428,102.28
19970429,102.79
19970430,102.73
19970501,102.81
19970502,102.89
19970505,102.91
19970506,102.89
19970507,102.7
19970508,102.81
19970509,103.04
19970512,103.15
19970513,102.99
19970514,103.08
19970515,102.47
19970516,102.38
19970519,102.41
19970520,102.55
19970521,102.48
19970522,102.41
19970523,102.48
19970527,102.41
19970528,102.38
19970529,102.54
19970530,102.8
19970531,102.59
19970602,102.63
19970603,102.73
19970604,102.74
19970605,102.76
19970606,103.08
19970609,102.97
19970610,102.93
19970611,102.96
19970612,103.27
19970613,103.4
19970616,103.55
19970617,103.46
19970618,103.55
19970619,103.57
19970620,103.65
19970623,103.62
19970624,103.62
19970625,103.54
19970626,103.47
19970627,103.57
19970630,103.16
19970701,103.36
19970702,103.44
19970703,103.76
19970707,103.95
19970708,103.94
19970709,104.04
19970710,104.05
19970711,104.1
19970714,104.04
19970715,103.95
19970716,104.15
19970717,104.16
19970718,104.07
19970721,104.04
19970722,104.41
19970723,104.41
19970724,104.41
19970725,104.37
19970728,104.54
19970729,104.68
19970730,104.83
19970731,104.72
19970801,104.17
19970804,104.13
19970805,104.13
19970806,104.18
19970807,104.11
19970808,103.8
19970811,103.88
19970812,103.83
19970813,103.96
19970814,104.19
19970815,103.51
19970818,103.73
19970819,103.7
19970820,103.62
19970821,103.49
19970822,103.33
19970825,103.32
19970826,103.37
19970827,103.37
19970828,103.62
19970829,103.49
19970831,103.29
19970902,103.45
19970903,103.37
19970904,103.37
19970905,103.36
19970908,103.46
19970909,103.46
19970910,103.4
19970911,103.38
19970912,103.67
19970915,103.75
19970916,104.25
19970917,104.3
19970918,104.22
19970919,104.3
19970922,104.42
19970923,104.34
19970924,104.48
19970925,104.25
19970926,104.41
19970929,104.45
19970930,104.1
19971001,104.33
19971002,104.41
19971003,104.47
19971006,104.65
19971007,104.72
19971008,104.35
19971009,104.31
19971010,104.13
19971013,104.19
19971014,104.43
19971015,104.2
19971016,104.22
19971017,104
19971020,104.11
19971021,104.11
19971022,104.18
19971023,104.47
19971024,104.59
19971027,105.25
19971028,104.72
19971029,104.99
19971030,105.17
19971031,104.93
19971103,104.74
19971104,104.64
19971105,104.67
19971106,104.8
19971107,104.79
19971110,104.8
19971111,104.83
19971112,104.92
19971113,104.98
19971114,105.01
19971117,104.35
19971118,104.36
19971119,104.47
19971120,104.39
19971121,104.52
19971124,104.44
19971125,104.45
19971126,104.42
19971127,104.44
19971128,104.41
19971130,104.28
19971201,104.3
19971202,104.34
19971203,104.43
19971204,104.48
19971205,104.25
19971208,104.17
19971209,104.26
19971210,104.46
19971211,104.69
19971212,104.94
19971215,104.83
19971216,104.89
19971217,104.79
19971218,104.95
19971219,105.03
19971222,105.06
19971223,105.07
19971224,105.06
19971226,105.07
19971229,105.08
19971230,105
19971231,104.83
19980102,105.11
19980105,105.63
19980106,105.82
19980107,105.67
19980108,105.98
19980109,106.34
19980112,106.37
19980113,106.26
19980114,106.16
19980115,106.03
19980116,105.81
19980119,105.87
19980120,105.81
19980121,105.95
19980122,106.01
19980123,105.64
19980126,105.81
19980127,105.6
19980128,105.63
19980129,106
19980130,106.11
19980131,106
19980202,105.92
19980203,105.98
19980204,106.02
19980205,105.88
19980206,105.86
19980209,105.82
19980210,105.86
19980211,106.01
19980212,106.04
19980213,106.13
19980216,105.39
19980217,105.51
19980218,105.4
19980219,105.35
19980220,105.31
19980223,105.22
19980224,104.9
19980225,105.02
19980226,104.96
19980227,105.05
19980228,104.81
19980302,104.61
19980303,104.46
19980304,104.52
19980305,104.55
19980306,104.69
19980309,104.87
19980310,104.89
19980311,105
19980312,105.19
19980313,105.16
19980316,105.32
19980317,105.27
19980318,105.22
19980319,105.22
19980320,105.25
19980323,105.3
19980324,105.3
19980325,105.13
19980326,105.01
19980327,104.99
19980330,104.96
19980331,104.8
19980401,104.96
19980402,105.11
19980403,105.42
19980406,105.33
19980407,105.33
19980408,103.56
19980409,105.2
19980413,105.03
19980414,105.16
19980415,105.13
19980416,105.21
19980417,105.21
19980420,105.12
19980421,105.02
19980422,105.05
19980423,105.04
19980424,105.11
19980427,104.77
19980428,104.76
19980429,104.76
19980430,104.92
19980501,103.25
19980504,105.01
19980505,104.94
19980506,105.14
19980507,105.12
19980508,105.02
19980511,104.84
19980512,105.1
19980513,105.16
19980514,105.06
19980515,104.35
19980518,104.55
19980519,104.52
19980520,104.65
19980521,104.48
19980522,104.53
19980525,104.59
19980526,104.73
19980527,104.82
19980528,103.31
19980529,104.87
19980531,104.7
19980601,104.83
19980602,104.76
19980603,104.74
19980604,104.68
19980605,104.69
19980608,104.74
19980609,104.75
19980610,104.95
19980611,105.23
19980612,105.28
19980615,105.43
19980616,105.23
19980617,104.98
19980618,105.09
19980619,105.2
19980622,105.26
19980623,105.29
19980624,105.3
19980625,105.26
19980626,105.3
19980629,105.34
19980630,105.07
19980701,105.18
19980702,105.24
19980703,105.26
19980706,105.37
19980707,105.31
19980708,105.3
19980709,105.41
19980710,105.41
19980713,105.32
19980714,105.29
19980715,105.23
19980716,105.19
19980717,105.19
19980720,105.3
19980721,105.36
19980722,105.34
19980723,105.41
19980724,105.39
19980727,105.4
19980728,105.39
19980729,105.33
19980730,105.37
19980731,105.09
19980803,105.28
19980804,105.4
19980805,105.46
19980806,105.46
19980807,105.56
19980810,105.63
19980811,105.77
19980812,105.76
19980813,105.62
19980814,105.75
19980817,105.04
19980818,104.99
19980819,105.02
19980820,105.12
19980821,105.36
19980824,105.51
19980825,105.66
19980826,105.8
19980827,106.05
19980828,106.22
19980831,106.2
19980901,106.17
19980902,106.03
19980903,106.22
19980904,106.26
19980907,106.31
19980908,106.29
19980909,106.72
19980910,107.43
19980911,107.14
19980914,107.08
19980915,107.04
19980916,107.09
19980917,107.32
19980918,107.6
19980921,107.61
19980922,107.49
19980923,107.78
19980924,108
19980925,108.14
19980928,108.16
19980929,108.17
19980930,108.44
19981001,108.92
19981002,108.87
19981005,109.31
19981006,109.06
19981007,108.77
19981008,108.34
19981009,107.73
19981012,107.76
19981013,107.99
19981014,108.36
19981015,108.36
19981016,108.93
19981019,108.98
19981020,108.74
19981021,108.62
19981022,108.5
19981023,108.25
19981026,108.32
19981027,108.62
19981028,108.76
19981029,108.9
19981030,108.58
19981031,108.48
19981102,108.01
19981103,108.06
19981104,107.59
19981105,107.58
19981106,107.18
19981109,107.42
19981110,107.56
19981111,107.55
19981112,107.73
19981113,107.63
19981116,106.84
19981117,106.75
19981118,106.87
19981119,106.8
19981120,106.87
19981123,106.92
19981124,106.83
19981125,106.87
19981126,106.89
19981127,106.98
19981130,107.01
19981201,107.29
19981202,107.58
19981203,107.63
19981204,107.45
19981207,107.08
19981208,107.43
19981209,107.49
19981210,107.7
19981211,107.42
19981214,107.63
19981215,107.48
19981216,107.64
19981217,107.64
19981218,107.58
19981221,107.38
19981222,107.25
19981223,106.85
19981224,106.7
19981228,107
19981229,107.22
19981230,107.39
19981231,107.1
19990104,107.15
19990105,106.92
19990106,107.04
19990107,106.94
19990108,106.67
19990111,106.59
19990112,106.87
19990113,107.08
19990114,107.44
19990115,107.17
19990118,107.23
19990119,107.11
19990120,107
19990121,107.2
19990122,107.37
19990125,107.37
19990126,107.31
19990127,107.37
19990128,107.43
19990129,107.5
19990131,107.41
19990201,107.12
19990202,106.97
19990203,106.85
19990204,106.66
19990205,106.51
19990208,106.61
19990209,106.68
19990210,106.7
19990211,106.65
19990212,106.21
19990215,105.45
19990216,105.51
19990217,105.67
19990218,105.54
19990219,105.49
19990222,105.65
19990223,105.45
19990224,105.19
19990225,104.89
19990226,104.92
19990228,104.64
19990301,104.42
19990302,104.59
19990303,104.5
19990304,104.43
19990305,104.69
