Date,GBOM
19961231,99.49
19970102,99.52
19970103,99.54
19970106,99.58
19970107,99.59
19970108,99.6
19970109,99.62
19970110,99.63
19970113,99.67
19970114,99.68
19970115,99.7
19970116,99.71
19970117,99.72
19970120,99.77
19970121,99.78
19970122,99.79
19970123,99.81
19970124,99.82
19970127,99.86
19970128,99.88
19970129,99.89
19970130,99.9
19970131,99.54
19970203,99.58
19970204,99.59
19970205,99.61
19970206,99.62
19970207,99.64
19970210,99.67
19970211,99.68
19970212,99.7
19970213,99.72
19970214,99.73
19970218,99.78
19970219,99.8
19970220,99.81
19970221,99.83
19970224,99.87
19970225,99.88
19970226,99.9
19970227,99.91
19970228,99.53
19970303,99.57
19970304,99.59
19970305,99.6
19970306,99.62
19970307,99.63
19970310,99.67
19970311,99.68
19970312,99.7
19970313,99.71
19970314,99.72
19970317,99.76
19970318,99.77
19970319,99.79
19970320,99.8
19970321,99.82
19970324,99.86
19970325,99.87
19970326,99.88
19970327,99.9
19970331,99.56
19970401,99.58
19970402,99.59
19970403,99.61
19970404,99.62
19970407,99.66
19970408,99.67
19970409,99.69
19970410,99.7
19970411,99.72
19970414,99.76
19970415,99.77
19970416,99.79
19970417,99.8
19970418,99.82
19970421,99.86
19970422,99.88
19970423,99.89
19970424,99.9
19970425,99.92
19970428,99.96
19970429,99.97
19970430,99.51
19970501,99.52
19970502,99.54
19970505,99.59
19970506,99.6
19970507,99.61
19970508,99.63
19970509,99.64
19970512,99.68
19970513,99.7
19970514,99.72
19970515,99.73
19970516,99.74
19970519,99.78
19970520,99.79
19970521,99.81
19970522,99.84
19970523,99.84
19970527,99.89
19970528,99.9
19970529,99.91
19970530,99.93
19970531,99.58
19970602,99.62
19970603,99.62
19970604,99.63
19970605,99.64
19970606,99.66
19970609,99.7
19970610,99.71
19970611,99.73
19970612,99.73
19970613,99.74
19970616,99.78
19970617,99.79
19970618,99.8
19970619,99.81
19970620,99.83
19970623,99.86
19970624,99.87
19970625,99.9
19970626,99.91
19970627,99.92
19970630,99.57
19970701,99.58
19970702,99.6
19970703,99.62
19970707,99.68
19970708,99.69
19970709,99.72
19970710,99.73
19970711,99.74
19970714,99.78
19970715,99.79
19970716,99.81
19970717,99.82
19970718,99.83
19970721,99.87
19970722,99.89
19970723,99.9
19970724,99.91
19970725,99.92
19970728,99.96
19970729,99.97
19970730,99.99
19970731,99.51
19970801,99.52
19970804,99.57
19970805,99.58
19970806,99.6
19970807,99.61
19970808,99.62
19970811,99.66
19970812,99.67
19970813,99.68
19970814,99.69
19970815,99.71
19970818,99.76
19970819,99.77
19970820,99.79
19970821,99.8
19970822,99.82
19970825,99.86
19970826,99.88
19970827,99.89
19970828,99.91
19970829,99.92
19970831,99.53
19970902,99.59
19970903,99.61
19970904,99.63
19970905,99.64
19970908,99.68
19970909,99.69
19970910,99.71
19970911,99.72
19970912,99.73
19970915,99.77
19970916,99.79
19970917,99.81
19970918,99.82
19970919,99.84
19970922,99.88
19970923,99.89
19970924,99.91
19970925,99.92
19970926,99.94
19970929,99.97
19970930,99.51
19971001,99.52
19971002,99.54
19971003,99.56
19971006,99.6
19971007,99.61
19971008,99.62
19971009,99.63
19971010,99.65
19971013,99.69
19971014,99.7
19971015,99.72
19971016,99.72
19971017,99.74
19971020,99.78
19971021,99.79
19971022,99.8
19971023,99.82
19971024,99.83
19971027,99.87
19971028,99.88
19971029,99.89
19971030,99.91
19971031,99.54
19971103,99.58
19971104,99.59
19971105,99.6
19971106,99.62
19971107,99.63
19971110,99.67
19971111,99.69
19971112,99.7
19971113,99.73
19971114,99.75
19971117,99.78
19971118,99.79
19971119,99.8
19971120,99.82
19971121,99.83
19971124,99.86
19971125,99.87
19971126,99.89
19971127,99.9
19971128,99.92
19971130,99.52
19971201,99.56
19971202,99.58
19971203,99.6
19971204,99.61
19971205,99.62
19971208,99.66
19971209,99.67
19971210,99.69
19971211,99.7
19971212,99.71
19971215,99.75
19971216,99.76
19971217,99.77
19971218,99.79
19971219,99.8
19971222,99.84
19971223,99.86
19971224,99.88
19971226,99.91
19971229,99.97
19971230,99.99
19971231,99.49
19980102,99.52
19980105,99.58
19980106,99.6
19980107,99.6
19980108,99.62
19980109,99.63
19980112,99.66
19980113,99.67
19980114,99.69
19980115,99.7
19980116,99.72
19980119,99.76
19980120,99.77
19980121,99.79
19980122,99.8
19980123,99.82
19980126,99.86
19980127,99.88
19980128,99.89
19980129,99.91
19980130,99.92
19980131,99.53
19980202,99.57
19980203,99.59
19980204,99.61
19980205,99.63
19980206,99.64
19980209,99.68
19980210,99.69
19980211,99.7
19980212,99.71
19980213,99.73
19980216,99.77
19980217,99.78
19980218,99.79
19980219,99.81
19980220,99.82
19980223,99.86
19980224,99.88
19980225,99.89
19980226,99.9
19980227,99.92
19980228,99.52
19980302,99.56
19980303,99.58
19980304,99.6
19980305,99.61
19980306,99.62
19980309,99.66
19980310,99.67
19980311,99.69
19980312,99.7
19980313,99.72
19980316,99.76
19980317,99.77
19980318,99.79
19980319,99.8
19980320,99.82
19980323,99.86
19980324,99.87
19980325,99.89
19980326,99.9
19980327,99.91
19980330,99.95
19980331,99.57
19980401,99.59
19980402,99.61
19980403,99.62
19980406,99.66
19980407,99.68
19980408,99.7
19980409,99.71
19980413,99.76
19980414,99.77
19980415,99.79
19980416,99.8
19980417,99.82
19980420,99.86
19980421,99.87
19980422,99.89
19980423,99.9
19980424,99.92
19980427,99.96
19980428,99.97
19980429,99.99
19980430,99.55
19980501,99.55
19980504,99.59
19980505,99.6
19980506,99.61
19980507,99.63
19980508,99.64
19980511,99.68
19980512,99.69
19980513,99.7
19980514,99.72
19980515,99.73
19980518,99.78
19980519,99.79
19980520,99.81
19980521,99.82
19980522,99.84
19980525,99.88
19980526,99.88
19980527,99.9
19980528,99.91
19980529,99.92
19980531,99.57
19980601,99.62
19980602,99.62
19980603,99.61
19980604,99.63
19980605,99.64
19980608,99.68
19980609,99.69
19980610,99.71
19980611,99.72
19980612,99.73
19980615,99.78
19980616,99.79
19980617,99.8
19980618,99.82
19980619,99.83
19980622,99.87
19980623,99.88
19980624,99.9
19980625,99.91
19980626,99.92
19980629,99.97
19980630,99.5
19980701,99.52
19980702,99.54
19980703,99.55
19980706,99.6
19980707,99.61
19980708,99.63
19980709,99.64
19980710,99.65
19980713,99.69
19980714,99.7
19980715,99.71
19980716,99.72
19980717,99.73
19980720,99.78
19980721,99.79
19980722,99.8
19980723,99.81
19980724,99.83
19980727,99.88
19980728,99.88
19980729,99.91
19980730,99.93
19980731,99.6
19980803,99.6
19980804,99.62
19980805,99.62
19980806,99.64
19980807,99.68
19980810,99.7
19980811,99.71
19980812,99.71
19980813,99.73
19980814,99.77
19980817,99.79
19980818,99.8
19980819,99.82
19980820,99.84
19980821,99.88
19980824,99.87
19980825,99.88
19980826,99.91
19980827,99.92
19980828,99.96
19980831,99.61
19980901,99.63
19980902,99.65
19980903,99.67
19980904,99.71
19980907,99.71
19980908,99.72
19980909,99.73
19980910,99.75
19980911,99.78
19980914,99.82
19980915,99.84
19980916,99.85
19980917,99.86
19980918,99.89
19980921,99.91
19980922,99.92
19980923,99.91
19980924,99.92
19980925,99.97
19980928,99.99
19980929,99.99
19980930,99.6
19981001,99.63
19981002,99.67
19981005,99.69
19981006,99.72
19981007,99.74
19981008,99.69
19981009,99.77
19981012,99.77
19981013,99.78
19981014,99.78
19981015,99.79
19981016,99.83
19981019,99.84
19981020,99.85
19981021,99.86
19981022,99.86
19981023,99.92
19981026,99.93
19981027,99.93
19981028,99.93
19981029,99.94
19981030,99.97
19981031,99.7
19981102,99.69
19981103,99.72
19981104,99.74
19981105,99.79
19981106,99.8
19981109,99.81
19981110,99.81
19981111,99.81
19981112,99.82
19981113,99.84
19981116,99.86
19981117,99.86
19981118,99.88
19981119,99.88
19981120,99.88
19981123,99.92
19981124,99.93
19981125,99.95
19981126,99.95
19981127,99.97
19981130,99.64
19981201,99.66
19981202,99.67
19981203,99.69
19981204,99.71
19981207,99.72
19981208,99.74
19981209,99.75
19981210,99.76
19981211,99.8
19981214,99.81
19981215,99.81
19981216,99.83
19981217,99.84
19981218,99.88
19981221,99.89
19981222,99.9
19981223,99.9
19981224,99.96
19981228,99.98
19981229,99.99
19981230,100
19981231,99.63
19990104,99.63
19990105,99.64
19990106,99.66
19990107,99.66
19990108,99.7
19990111,99.7
19990112,99.72
19990113,99.73
19990114,99.74
19990115,99.8
19990118,99.8
19990119,99.8
19990120,99.83
19990121,99.84
19990122,99.88
19990125,99.89
19990126,99.9
19990127,99.91
19990128,99.93
19990129,99.96
19990131,99.63
19990201,99.64
19990202,99.65
19990203,99.66
19990204,99.67
19990205,99.71
19990208,99.72
19990209,99.73
19990210,99.73
19990211,99.76
19990212,99.81
19990215,99.81
19990216,99.82
19990217,99.83
19990218,99.84
19990219,99.84
19990222,99.89
19990223,99.89
19990224,99.91
19990225,99.93
19990226,99.96
19990228,99.62
19990301,99.63
19990302,99.65
19990303,99.66
19990304,99.67
19990305,99.7
19990308,99.71
19990309,99.73
19990310,99.74
19990311,99.75
19990312,99.75
19990315,99.79
19990316,99.8
19990317,99.83
19990318,99.84
19990319,99.88
19990322,99.88
19990323,99.9
19990324,99.91
19990325,99.93
19990326,99.96
19990329,99.97
19990330,99.99
19990331,99.56
19990401,99.62
19990402,99.62
19990405,99.64
19990406,99.65
19990407,99.66
19990408,99.68
19990409,99.71
19990412,99.73
19990413,99.74
19990414,99.75
19990415,99.76
19990416,99.8
19990419,99.81
19990420,99.83
19990421,99.84
19990422,99.85
19990423,99.88
19990426,99.88
19990427,99.89
19990428,99.91
19990429,99.93
19990430,99.62
19990503,99.63
19990504,99.64
19990505,99.66
19990506,99.67
19990507,99.71
19990510,99.72
19990511,99.73
19990512,99.74
19990513,99.75
19990514,99.79
19990517,99.81
19990518,99.82
19990519,99.83
19990520,99.85
19990521,99.85
19990524,99.89
19990525,99.9
19990526,99.92
19990527,99.93
19990528,99.98
19990531,99.64
19990601,99.65
19990602,99.67
