Date,H5A4
19961231,99.99
19970102,99.9
19970103,99.89
19970106,99.78
19970107,99.7
19970108,99.69
19970109,99.78
19970110,99.64
19970113,99.63
19970114,99.8
19970115,99.85
19970116,99.83
19970117,99.84
19970120,99.87
19970121,99.93
19970122,100.01
19970123,99.98
19970124,99.97
19970127,99.92
19970128,99.96
19970129,99.94
19970130,99.97
19970131,99.91
19970203,100
19970204,100.03
19970205,100.08
19970206,100.12
19970207,100.22
19970210,100.26
19970211,100.31
19970212,100.36
19970213,100.5
19970214,100.62
19970218,100.71
19970219,100.83
19970220,100.92
19970221,100.95
19970224,101
19970225,101.04
19970226,100.87
19970227,100.76
19970228,100.64
19970303,100.51
19970304,100.51
19970305,100.34
19970306,100.3
19970307,100.37
19970310,100.36
19970311,100.42
19970312,100.39
19970313,100.23
19970314,100.18
19970317,100.07
19970318,100.02
19970319,99.86
19970320,99.71
19970321,99.65
19970324,99.62
19970325,99.68
19970326,99.37
19970327,99.1
19970331,98.58
19970401,98.43
19970402,98.31
19970403,98.3
19970404,98.18
19970407,98.31
19970408,98.26
19970409,98.29
19970410,98.28
19970411,98.14
19970414,98.09
19970415,98.19
19970416,98.2
19970417,98.32
19970418,98.46
19970421,98.48
19970422,98.56
19970423,98.65
19970424,98.65
19970425,98.65
19970428,98.64
19970429,98.88
19970430,99.02
19970501,99.17
19970502,99.29
19970505,99.4
19970506,99.48
19970507,99.47
19970508,99.52
19970509,99.68
19970512,99.81
19970513,99.88
19970514,100.04
19970515,100.13
19970516,100.12
19970519,100.14
19970520,100.16
19970521,100.15
19970522,100.19
19970523,100.24
19970527,100.21
19970528,100.23
19970529,100.33
19970530,100.44
19970531,100.38
19970602,100.47
19970603,100.6
19970604,100.69
19970605,100.75
19970606,100.93
19970609,101.07
19970610,101.15
19970611,101.25
19970612,101.38
19970613,101.45
19970616,101.53
19970617,101.46
19970618,101.45
19970619,101.48
19970620,101.5
19970623,101.48
19970624,101.44
19970625,101.39
19970626,101.2
19970627,101.18
19970630,101.1
19970701,101.15
19970702,101.19
19970703,101.3
19970707,101.43
19970708,101.46
19970709,101.57
19970710,101.63
19970711,101.77
19970714,101.93
19970715,102.01
19970716,102.14
19970717,102.18
19970718,102.15
19970721,102.16
19970722,102.28
19970723,102.38
19970724,102.4
19970725,102.47
19970728,102.53
19970729,102.61
19970730,102.71
19970731,102.6
19970801,102.4
19970804,102.32
19970805,102.32
19970806,102.35
19970807,102.38
19970808,102.03
19970811,102.02
19970812,101.98
19970813,102
19970814,102.07
19970815,102.07
19970818,102.11
19970819,102.14
19970820,102.13
19970821,102.09
19970822,101.97
19970825,101.96
19970826,101.94
19970827,101.9
19970828,101.95
19970829,101.9
19970831,101.76
19970902,101.79
19970903,101.77
19970904,101.76
19970905,101.73
19970908,101.76
19970909,101.76
19970910,101.75
19970911,101.7
19970912,101.84
19970915,101.91
19970916,102.15
19970917,102.32
19970918,102.39
19970919,102.46
19970922,102.53
19970923,102.51
19970924,102.56
19970925,102.5
19970926,102.53
19970929,102.55
19970930,102.11
19971001,102.23
19971002,102.31
19971003,102.44
19971006,102.54
19971007,102.62
19971008,102.54
19971009,102.39
19971010,102.37
19971013,102.31
19971014,102.42
19971015,102.36
19971016,102.36
19971017,102.24
19971020,102.24
19971021,102.23
19971022,102.25
19971023,102.3
19971024,102.31
19971027,102
19971028,101.4
19971029,101.64
19971030,101.64
19971031,101.34
19971103,101.32
19971104,101.42
19971105,101.54
19971106,101.6
19971107,101.53
19971110,101.59
19971111,101.6
19971112,101.62
19971113,101.53
19971114,101.5
19971117,101.5
19971118,101.52
19971119,101.5
19971120,101.47
19971121,101.54
19971124,101.5
19971125,101.51
19971126,101.52
19971127,101.52
19971128,101.51
19971130,101.28
19971201,101.28
19971202,101.37
19971203,101.49
19971204,101.55
19971205,101.48
19971208,101.52
19971209,101.54
19971210,101.61
19971211,101.66
19971212,101.72
19971215,101.67
19971216,101.68
19971217,101.61
19971218,101.65
19971219,101.67
19971222,101.61
19971223,101.54
19971224,101.52
19971226,101.52
19971229,101.51
19971230,101.49
19971231,101.85
19980102,101.93
19980105,102.22
19980106,102.33
19980107,102.29
19980108,102.37
19980109,102.57
19980112,102.55
19980113,102.5
19980114,102.54
19980115,102.55
19980116,102.53
19980119,102.53
19980120,102.52
19980121,102.61
19980122,102.65
19980123,102.5
19980126,102.56
19980127,102.47
19980128,102.5
19980129,102.67
19980130,102.74
19980131,102.71
19980202,102.71
19980203,102.78
19980204,102.82
19980205,102.83
19980206,102.84
19980209,102.77
19980210,102.8
19980211,102.85
19980212,102.89
19980213,102.93
19980216,102.93
19980217,102.98
19980218,102.95
19980219,102.93
19980220,102.91
19980223,102.85
19980224,102.65
19980225,102.64
19980226,102.62
19980227,102.64
19980228,102.54
19980302,102.45
19980303,102.27
19980304,102.24
19980305,102.19
19980306,102.23
19980309,102.28
19980310,102.27
19980311,102.35
19980312,102.44
19980313,102.46
19980316,102.55
19980317,102.56
19980318,102.58
19980319,102.62
19980320,102.65
19980323,102.69
19980324,102.7
19980325,102.66
19980326,102.62
19980327,102.64
19980330,102.6
19980331,102.28
19980401,102.33
19980402,102.38
19980403,102.52
19980406,102.51
19980407,102.5
19980408,102.47
19980409,102.45
19980413,102.33
19980414,102.35
19980415,102.35
19980416,102.37
19980417,102.4
19980420,102.36
19980421,102.3
19980422,102.31
19980423,102.29
19980424,102.32
19980427,101.85
19980428,101.88
19980429,101.82
19980430,101.78
19980501,101.8
19980504,101.89
19980505,101.86
19980506,101.9
19980507,101.86
19980508,101.81
19980511,101.69
19980512,101.7
19980513,101.7
19980514,101.66
19980515,101.65
19980518,101.65
19980519,101.62
19980520,101.64
19980521,101.59
19980522,101.6
19980525,101.6
19980526,101.65
19980527,101.68
19980528,101.68
19980529,101.68
19980531,100.78
19980601,100.82
19980602,100.8
19980603,100.79
19980604,100.79
19980605,100.8
19980608,100.81
19980609,100.81
19980610,100.85
19980611,100.92
19980612,100.9
19980615,100.83
19980616,100.6
19980617,100.5
19980618,100.54
19980619,100.56
19980622,100.41
19980623,100.39
19980624,100.56
19980625,100.57
19980626,100.6
19980629,100.59
19980630,100.4
19980701,100.45
19980702,100.47
19980703,100.47
19980706,100.52
19980707,100.56
19980708,100.58
19980709,100.6
19980710,100.61
19980713,100.58
19980714,100.57
19980715,100.63
19980716,100.61
19980717,100.6
19980720,100.64
19980721,100.68
19980722,100.7
19980723,100.65
19980724,100.65
19980727,100.6
