Price History: HYG-US,,,,,,,,,,
,,,,,,,,,,
.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
04/11/07,104.35,1900,,104.35,104.35,104.39,103.26,104.35,,
04/12/07,104.42,6100,0.07,104.42,104.35,104.42,103.32,104.42,0.07,0.07
04/13/07,104.23,3400,-0.18,104.39,104.23,104.49,103.37,104.23,-0.18,-0.11
04/16/07,104.19,7600,-0.04,104.27,104.15,104.27,103.54,104.19,-0.04,-0.15
04/17/07,104.14,28100,-0.05,104.15,104.14,104.40,103.68,104.14,-0.05,-0.20
04/18/07,104.17,6300,0.03,104.19,104.15,104.27,103.78,104.17,0.03,-0.17
04/19/07,104.53,47500,0.35,104.20,104.06,104.57,103.84,104.53,0.35,0.17
04/20/07,104.47,4900,-0.06,104.54,104.45,104.54,103.96,104.47,-0.06,0.11
04/23/07,104.53,1700,0.06,104.59,104.45,104.66,104.18,104.53,0.06,0.17
04/24/07,105.25,398500,0.69,104.59,104.42,105.31,104.27,105.25,0.69,0.86
04/25/07,105.41,16300,0.15,105.28,105.28,105.41,104.35,105.41,0.15,1.02
04/26/07,105.60,48200,0.18,105.43,105.29,105.60,104.40,105.60,0.18,1.20
04/27/07,105.60,8300,,105.51,105.51,105.60,104.43,105.60,,1.20
04/30/07,105.61,15500,0.01,105.56,105.33,105.63,104.52,105.61,0.01,1.21
05/01/07,105.33,8600,-0.27,105.27,105.27,105.43,104.29,105.62,0.01,1.22
05/02/07,105.29,4700,-0.04,105.35,105.20,105.39,104.22,105.58,-0.04,1.18
05/03/07,105.30,17400,0.01,105.37,105.20,105.48,104.23,105.59,0.01,1.19
05/04/07,105.43,4600,0.12,105.35,105.21,105.44,104.35,105.72,0.12,1.32
05/07/07,105.42,4200,-0.01,105.32,105.30,105.42,104.45,105.71,-0.01,1.31
05/08/07,105.50,16100,0.08,105.54,105.45,105.55,104.45,105.79,0.08,1.38
05/09/07,105.22,9400,-0.27,105.59,105.16,105.60,104.51,105.51,-0.27,1.11
05/10/07,105.60,17400,0.36,105.70,105.51,105.81,104.60,105.89,0.36,1.48
05/11/07,105.66,12200,0.06,105.64,105.56,105.78,104.65,105.95,0.06,1.54
05/14/07,105.65,11600,-0.01,105.69,105.55,105.70,104.75,105.94,-0.01,1.53
05/15/07,105.57,39400,-0.08,105.70,105.57,105.93,104.78,105.86,-0.08,1.45
05/16/07,105.85,78100,0.27,105.83,105.82,105.86,104.79,106.14,0.27,1.72
05/17/07,105.82,14500,-0.03,105.89,105.69,105.93,104.83,106.11,-0.03,1.69
05/18/07,105.85,5200,0.03,105.95,105.85,105.95,104.81,106.14,0.03,1.72
05/21/07,105.95,14600,0.09,105.94,105.85,105.96,104.91,106.24,0.09,1.82
05/22/07,105.96,10200,0.01,106.08,105.73,106.09,104.85,106.25,0.01,1.83
