Price History: TLT-US,,,,,,,,,,
,,,,,,,,,,
.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
04/11/07,87.37,476200,,87.47,87.28,87.58,87.25,87.37,,
04/12/07,87.39,495043,0.02,87.50,87.28,87.57,87.31,87.39,0.02,0.02
04/13/07,87.12,557800,-0.31,87.41,87.01,87.47,87.12,87.12,-0.31,-0.29
04/16/07,87.60,833600,0.55,87.40,87.40,87.68,87.56,87.60,0.55,0.26
04/17/07,88.09,1254120,0.56,87.89,87.84,88.16,88.09,88.09,0.56,0.82
04/18/07,88.53,450776,0.50,88.37,88.36,88.56,88.43,88.53,0.50,1.33
04/19/07,88.38,1305815,-0.17,88.66,88.20,88.71,88.24,88.38,-0.17,1.16
04/20/07,88.15,664429,-0.26,88.45,88.06,88.45,88.17,88.15,-0.26,0.89
04/23/07,88.47,419000,0.36,88.14,88.04,88.59,88.41,88.47,0.36,1.26
04/24/07,88.80,881228,0.37,88.45,88.45,88.82,88.70,88.80,0.37,1.64
04/25/07,88.49,569000,-0.35,88.57,88.11,88.79,88.42,88.49,-0.35,1.28
04/26/07,87.85,2048304,-0.72,88.43,87.85,88.43,87.99,87.85,-0.72,0.55
04/27/07,87.83,428640,-0.02,88.01,87.78,88.05,87.80,87.83,-0.02,0.53
04/30/07,88.75,485700,1.05,88.33,88.25,88.75,88.69,88.75,1.05,1.58
05/01/07,88.49,487200,-0.29,88.58,88.11,88.64,88.40,88.81,0.07,1.65
05/02/07,88.44,443901,-0.06,88.44,88.29,88.48,88.40,88.76,-0.06,1.60
05/03/07,88.24,427618,-0.23,88.37,88.01,88.37,88.14,88.56,-0.23,1.37
05/04/07,88.60,262000,0.41,88.52,88.50,88.64,88.57,88.92,0.41,1.78
05/07/07,88.84,210175,0.27,88.70,88.67,88.85,88.73,89.17,0.27,2.05
05/08/07,88.64,488322,-0.23,89.01,88.64,89.01,88.63,88.96,-0.23,1.83
05/09/07,88.29,634900,-0.39,88.65,88.26,88.66,88.20,88.61,-0.39,1.42
05/10/07,88.50,519452,0.24,88.40,88.31,88.59,88.38,88.82,0.24,1.66
05/11/07,88.19,1238400,-0.35,88.64,88.13,88.70,88.13,88.51,-0.35,1.31
05/14/07,87.96,315200,-0.26,88.23,87.96,88.28,88.01,88.28,-0.26,1.04
05/15/07,87.93,382400,-0.03,88.19,87.66,88.21,87.80,88.25,-0.03,1.01
05/16/07,87.87,599440,-0.07,87.86,87.83,88.00,87.90,88.19,-0.07,0.94
05/17/07,87.51,397000,-0.41,87.60,87.41,87.72,87.44,87.83,-0.41,0.53
05/18/07,86.93,856434,-0.66,87.35,86.88,87.50,86.92,87.25,-0.66,-0.14
05/21/07,87.19,821063,0.30,86.93,86.83,87.24,87.14,87.51,0.30,0.16
05/22/07,86.74,920500,-0.52,87.18,86.68,87.20,86.68,87.06,-0.52,-0.36
